Index,title,author,rating,complete_link,Final
22,Building Data Science Solutions with Anaconda: A comprehensive starter guide to building robust and complete models,"Dan Meador,Kevin Goldsmith",10.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A03218092HN8S0ECTJTVX&url=%2FBuilding-Data-Science-Solutions-Anaconda%2Fdp%2F1800568789%2Fref%3Dsr_1_210_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-210-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf,"Building Data Science Solutions with Anaconda: A comprehensive starter guide to building robust and complete modelsDan Meador,Kevin Goldsmith"
23,Mastering TensorFlow 2.x: Implement Powerful Neural Nets across Structured Unstructured datasets and Time Series Data (English Edition),Rajdeep Dua,10.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A04058533TB8PU0UGVTTX&url=%2FMastering-TensorFlow-2-x-Structured-Unstructured%2Fdp%2F9391392229%2Fref%3Dsr_1_196_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-196-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_atf_next,Mastering TensorFlow 2.x: Implement Powerful Neural Nets across Structured Unstructured datasets and Time Series Data (English Edition)Rajdeep Dua
24,Game Data Science,"Magy Seif El-Nasr,Truong-Huy D. Nguyen et al.",10.0,https://www.amazon.com/Game-Data-Science-Magy-El-Nasr/dp/019289787X/ref=sr_1_159?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448020&sprefix=data+science%2Caps%2C828&sr=8-159,"Game Data ScienceMagy Seif El-Nasr,Truong-Huy D. Nguyen et al."
25,Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"Oz du Soleil,Bill Jelen",10.0,https://www.amazon.com/Guerrilla-Analysis-Using-Microsoft-Excel/dp/1615470743/ref=sr_1_12?keywords=data+analysis&qid=1663454597&sr=8-12,"Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel SkirmishesOz du Soleil,Bill Jelen"
26,Topological Data Analysis with Applications,"Gunnar Carlsson,Mikael Vejdemo-Johansson",10.0,https://www.amazon.com/Topological-Analysis-Applications-Gunnar-Carlsson/dp/1108838650/ref=sr_1_39?keywords=data+analysis&qid=1663454597&sr=8-39,"Topological Data Analysis with ApplicationsGunnar Carlsson,Mikael Vejdemo-Johansson"
27,Social Statistics: Managing Data Conducting Analyses Presenting Results (Sociology Re-Wired),Thomas J. Linneman,10.0,https://www.amazon.com/Social-Statistics-Conducting-Presenting-Sociology/dp/1032115289/ref=sr_1_140?keywords=data+analysis&qid=1663454623&sr=8-140,Social Statistics: Managing Data Conducting Analyses Presenting Results (Sociology Re-Wired)Thomas J. Linneman
28,Applying Quantitative Bias Analysis to Epidemiologic Data (Statistics for Biology and Health),,10.0,https://www.amazon.com/Applying-Quantitative-Bias-Analysis-to-Epidemiologic-Data-_Statistics-for-Biology-and-Health_/dp/3030826724/ref=sr_1_122?keywords=data+analysis&qid=1663454623&sr=8-122,Applying Quantitative Bias Analysis to Epidemiologic Data (Statistics for Biology and Health)
29,Problem Solving and Data Analysis: Sat Math Practice Test,Educational Testing Group,10.0,https://www.amazon.com/Problem-Solving-Data-Analysis-Practice/dp/171779369X/ref=sr_1_172?keywords=data+analysis&qid=1663454642&sr=8-172,Problem Solving and Data Analysis: Sat Math Practice TestEducational Testing Group
30,Spatial Data Analysis: Models Methods and Techniques (SpringerBriefs in Regional Science),,10.0,https://www.amazon.com/Spatial-Data-Analysis-Techniques-SpringerBriefs/dp/3642217192/ref=sr_1_193?keywords=data+analysis&qid=1663454642&sr=8-193,Spatial Data Analysis: Models Methods and Techniques (SpringerBriefs in Regional Science)
31,Introduction to Data Analytics for Accounting (International edition) Textbook only,Ryan A. Teeter Vernon Richardson Katie L. Terrell,10.0,https://www.amazon.com/Introduction-Analytics-Accounting-International-Textbook/dp/1260590836/ref=sr_1_246?keywords=data+analysis&qid=1663454656&sr=8-246,Introduction to Data Analytics for Accounting (International edition) Textbook onlyRyan A. Teeter Vernon Richardson Katie L. Terrell
32,Adverse Impact Analysis: Understanding Data Statistics and Risk,"Scott B. Morris,Eric M. Dunleavy",10.0,https://www.amazon.com/Adverse-Impact-Analysis-Understanding-Statistics/dp/1138855855/ref=sr_1_244?keywords=data+analysis&qid=1663454656&sr=8-244,"Adverse Impact Analysis: Understanding Data Statistics and RiskScott B. Morris,Eric M. Dunleavy"
33,In-Memory Analytics with Apache Arrow: Perform fast and efficient data analytics on both flat and hierarchical structured data,"Matthew Topol,Wes McKinney",10.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A09728803RJKZK3BT8KO2&url=%2FMemory-Analytics-Apache-Arrow-hierarchical%2Fdp%2F1801071039%2Fref%3Dsr_1_225_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-225-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_mtf,"In-Memory Analytics with Apache Arrow: Perform fast and efficient data analytics on both flat and hierarchical structured dataMatthew Topol,Wes McKinney"
34,Numerical Methods Using Java: For Data Science Analysis and Engineering,Haksun Li PhD,10.0,https://www.amazon.com/Numerical-Methods-Using-Java-Engineering/dp/1484267966/ref=sr_1_220?keywords=data+analysis&qid=1663454656&sr=8-220,Numerical Methods Using Java: For Data Science Analysis and EngineeringHaksun Li PhD
35,DATA ANALYTICS: Simple and Effective Tips and Tricks to Learn Data Analytics Effectively,Benjamin Smith,10.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A01283821OUMQMARYV9MZ&url=%2FDATA-ANALYTICS-Effective-Analytics-Effectively%2Fdp%2FB08GLWB38K%2Fref%3Dsr_1_212_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-212-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_mtf,DATA ANALYTICS: Simple and Effective Tips and Tricks to Learn Data Analytics EffectivelyBenjamin Smith
36,The Data Revolution: A Critical Analysis of Big Data Open Data and Data Infrastructures,Rob Kitchin,10.0,https://www.amazon.com/Data-Revolution-Critical-Analysis-Infrastructures/dp/1529733758/ref=sr_1_157?keywords=data+analysis&qid=1663454642&sr=8-157,The Data Revolution: A Critical Analysis of Big Data Open Data and Data InfrastructuresRob Kitchin
37,Inside Deep Learning: Math Algorithms Models,Edward Raff,10.0,https://www.amazon.com/Inside-Deep-Learning-Algorithms-Models/dp/1617298638/ref=sr_1_12?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460453&sprefix=deep+learnin%2Caps%2C449&sr=8-12,Inside Deep Learning: Math Algorithms ModelsEdward Raff
38,Deep Generative Modeling,Jakub M. Tomczak,10.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMjU1NDM5NTIwMjk1OTM0OjE2NjM0NjA0NTM6c3BfbXRmOjIwMDA1NzQyMTY0MjI5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FDeep-Generative-Modeling-Jakub-Tomczak%2Fdp%2F3030931579%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460453%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-34-spons%26psc%3D1,Deep Generative ModelingJakub M. Tomczak
39,Deep Neural Evolution: Deep Learning with Evolutionary Computation (Natural Computing Series),,10.0,https://www.amazon.com/Deep-Neural-Evolution-Evolutionary-Computation/dp/9811536872/ref=sr_1_103?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460473&sprefix=deep+learnin%2Caps%2C449&sr=8-103,Deep Neural Evolution: Deep Learning with Evolutionary Computation (Natural Computing Series)
40,Modern Deep Learning Design and Application Development: Versatile Tools to Solve Deep Learning Problems,Andre Ye,10.0,https://www.amazon.com/Modern-Learning-Design-Application-Development/dp/1484274121/ref=sr_1_147?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460492&sprefix=deep+learnin%2Caps%2C449&sr=8-147,Modern Deep Learning Design and Application Development: Versatile Tools to Solve Deep Learning ProblemsAndre Ye
41,Machine Learning at Scale with H2O: A practical guide to building and deploying machine learning models on enterprise systems,"Gregory Keys,David Whiting",10.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDA5MTIwMzE4NDkyNDgxOjE2NjM0NjA0OTI6c3BfbXRmOjIwMDA3Nzc5ODg1NzA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FMachine-Learning-Scale-H2O-enterprise%2Fdp%2F1800566018%2Fref%3Dsr_1_130_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460492%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-130-spons%26psc%3D1,"Machine Learning at Scale with H2O: A practical guide to building and deploying machine learning models on enterprise systemsGregory Keys,David Whiting"
42,Deep Learning Applications of Short-range Radars,"Avik Santra,Souvik Hazra",10.0,https://www.amazon.com/Deep-Learning-Applications-Short-range-Radars/dp/1630817465/ref=sr_1_194?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460503&sprefix=deep+learnin%2Caps%2C449&sr=8-194,"Deep Learning Applications of Short-range RadarsAvik Santra,Souvik Hazra"
43,Deep Discourse: A Framework for Cultivating Student-Led Discussions -Use Conversation to Raise Student Learning Motivation and Engagement in K-12 Classrooms,"Sandi Novak,Cara Slattery",10.0,https://www.amazon.com/Deep-Discourse-Cultivating-Student-Led-Conversation/dp/1943874026/ref=sr_1_185?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460503&sprefix=deep+learnin%2Caps%2C449&sr=8-185,"Deep Discourse: A Framework for Cultivating Student-Led Discussions -Use Conversation to Raise Student Learning Motivation and Engagement in K-12 ClassroomsSandi Novak,Cara Slattery"
44,Embedded Deep Learning: Algorithms Architectures and Circuits for Always-on Neural Network Processing,"Bert Moons,Daniel Bankman et al.",10.0,https://www.amazon.com/Embedded-Deep-Learning-Architectures-Always/dp/303007577X/ref=sr_1_251?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-251,"Embedded Deep Learning: Algorithms Architectures and Circuits for Always-on Neural Network ProcessingBert Moons,Daniel Bankman et al."
45,Deep Learning for Physical Scientists: Accelerating Research with Machine Learning,"Edward O. Pyzer-Knapp,Matthew Benatan",10.0,https://www.amazon.com/Deep-Learning-Physical-Scientists-Accelerating/dp/1119408334/ref=sr_1_251?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-251,"Deep Learning for Physical Scientists: Accelerating Research with Machine LearningEdward O. Pyzer-Knapp,Matthew Benatan"
46,Autonomous Robotics and Deep Learning (SpringerBriefs in Computer Science),,10.0,https://www.amazon.com/Autonomous-Robotics-Learning-SpringerBriefs-Computer/dp/3319056026/ref=sr_1_215?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-215,Autonomous Robotics and Deep Learning (SpringerBriefs in Computer Science)
47,Deep Learning for the Earth Sciences: A Comprehensive Approach to Remote Sensing Climate Science and Geosciences,"Gustau Camps-Valls,Devis Tuia et al.",10.0,https://www.amazon.com/Deep-Learning-Earth-Sciences-Comprehensive/dp/1119646146/ref=sr_1_150?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460503&sprefix=deep+learnin%2Caps%2C449&sr=8-150,"Deep Learning for the Earth Sciences: A Comprehensive Approach to Remote Sensing Climate Science and GeosciencesGustau Camps-Valls,Devis Tuia et al."
48,Deep Learning in a Disorienting World,Jon F. Wergin,10.0,https://www.amazon.com/Deep-Learning-Disorienting-World-Wergin/dp/1108727158/ref=sr_1_119?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460492&sprefix=deep+learnin%2Caps%2C449&sr=8-119,Deep Learning in a Disorienting WorldJon F. Wergin
49,Essentials of Deep Learning and AI: Experience Unsupervised Learning Autoencoders Feature Engineering and Time Series Analysis with TensorFlow Keras and scikit-learn (English Edition),"Shashidhar Soppin,Dr. Manjunath Ramachandra et al.",10.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMjU1NDM5NTIwMjk1OTM0OjE2NjM0NjA0NTM6c3BfbXRmOjIwMDAzNTA2NTg4NzA5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FEssentials-Deep-Learning-Unsupervised-Autoencoders%2Fdp%2F9391030351%2Fref%3Dsr_1_20_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460453%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-20-spons%26psc%3D1,"Essentials of Deep Learning and AI: Experience Unsupervised Learning Autoencoders Feature Engineering and Time Series Analysis with TensorFlow Keras and scikit-learn (English Edition)Shashidhar Soppin,Dr. Manjunath Ramachandra et al."
50,Feature Store for Machine Learning: Curate discover share and serve ML features at scale,Jayanth Kumar M J,10.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MjMzODUwNDM1MTQ1NjU2OjE2NjM0NjQ5ODU6c3BfYXRmOjIwMDA2NTU3ODcyMzM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FFeature-Store-Machine-Learning-discover%2Fdp%2F1803230061%2Fref%3Dsr_1_4_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464985%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-4-spons%26psc%3D1,Feature Store for Machine Learning: Curate discover share and serve ML features at scaleJayanth Kumar M J
51,Applied Machine Learning Explainability Techniques: Make ML models explainable and trustworthy for practical applications using LIME SHAP and more,Aditya Bhattacharya,10.0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MjMzODUwNDM1MTQ1NjU2OjE2NjM0NjQ5ODU6c3BfYXRmOjIwMDA3NzczNjQ3Mjg5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FApplied-Machine-Learning-Explainability-Techniques%2Fdp%2F1803246154%2Fref%3Dsr_1_3_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1663464985%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-3-spons%26psc%3D1,Applied Machine Learning Explainability Techniques: Make ML models explainable and trustworthy for practical applications using LIME SHAP and moreAditya Bhattacharya
52,Machine Learning for Streaming Data with Python: Rapidly build practical online machine learning solutions using River and other top key frameworks,Joos Korstanje,10.0,https://www.amazon.com/Machine-Learning-Streaming-Data-Python/dp/180324836X/ref=sr_1_102?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-102,Machine Learning for Streaming Data with Python: Rapidly build practical online machine learning solutions using River and other top key frameworksJoos Korstanje
53,Machine Learning Engineering in Action,Ben Wilson,10.0,https://www.amazon.com/Machine-Learning-Engineering-Action-Wilson/dp/1617298719/ref=sr_1_97?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-97,Machine Learning Engineering in ActionBen Wilson
54,Introduction to Statistical and Machine Learning Methods for Data Science,"Dr. Carlos Andre Reis Andre Reis Pinheiro,Mike Patetta",10.0,https://www.amazon.com/Introduction-Statistical-Machine-Learning-Methods/dp/1953329608/ref=sr_1_93?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663464998&sprefix=deep+learning%2Caps%2C627&sr=8-93,"Introduction to Statistical and Machine Learning Methods for Data ScienceDr. Carlos Andre Reis Andre Reis Pinheiro,Mike Patetta"
55,Machine Learning Guide for Oil and Gas Using Python: A Step--Step Breakdown with Data Algorithms Codes and Applications,"Hoss Belyadi,Alireza Haghighat",10.0,https://www.amazon.com/Machine-Learning-Guide-Using-Python/dp/0128219297/ref=sr_1_141?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465010&sprefix=deep+learning%2Caps%2C627&sr=8-141,"Machine Learning Guide for Oil and Gas Using Python: A Step--Step Breakdown with Data Algorithms Codes and ApplicationsHoss Belyadi,Alireza Haghighat"
56,Automated Machine Learning for Business,"Kai R. Larsen,Daniel S. Becker",10.0,https://www.amazon.com/Automated-Machine-Learning-Business-Larsen/dp/0190941669/ref=sr_1_142?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465010&sprefix=deep+learning%2Caps%2C627&sr=8-142,"Automated Machine Learning for BusinessKai R. Larsen,Daniel S. Becker"
57,Mastering Azure Machine Learning: Execute large-scale end-to-end machine learning with Azure 2nd Edition,"Christoph Korner,Marcel Alsdorf",10.0,https://www.amazon.com/Mastering-Azure-Machine-Learning-end/dp/1803232412/ref=sr_1_134?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465010&sprefix=deep+learning%2Caps%2C627&sr=8-134,"Mastering Azure Machine Learning: Execute large-scale end-to-end machine learning with Azure 2nd EditionChristoph Korner,Marcel Alsdorf"
58,Data Cleaning and Exploration with Machine Learning: Get to grips with machine learning techniques to achieve sparkling-clean data quickly,Michael Walker,10.0,https://www.amazon.com/Data-Cleaning-Exploration-Machine-Learning/dp/1803241675/ref=sr_1_194?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465028&sprefix=deep+learning%2Caps%2C627&sr=8-194,Data Cleaning and Exploration with Machine Learning: Get to grips with machine learning techniques to achieve sparkling-clean data quicklyMichael Walker
59,Text Data Mining,"Chengqing Zong,Rui Xia et al.",10.0,https://www.amazon.com/Text-Data-Mining-Chengqing-Zong/dp/9811600996/ref=sr_1_300?crid=27NSKOKLZAT5L&keywords=machine+learning&qid=1663465052&sprefix=deep+learning%2Caps%2C627&sr=8-300,"Text Data MiningChengqing Zong,Rui Xia et al."
